German,English,Gender,Preposition
Wer bist du,Who are you,,
Wie heißt du,What is your name,,
die Vorname,forename,,
der Nachname,surname,,
Woher kommst du,Where are you from,,
auch,also,,
aus,from,,
Wo wohnst du,Where do you live,,
Ich arbeite in London,I work in London,,
die Apotheke,pharmacy,,
Was machst du in London,What do you do in London,,
Studierst du hier,Are you studying here,,
Studierst du an der Universität,Are you studying at the university,,
das Studentenheim,student accommodation,,
das Heim,home,,
der Student,student,m,
die Studentin,student,f,
studieren,study,,to
die Fakultät,department,,
die Wohnung,flat,,
Wer ist das,Who is that,,
Wie bitte,Could you repeat please,,
bitte,please,,
schlecht,bad,,
langsam,slowly,,
die Welt,world,,
denn,because,,
leben,live,,to
etwa,approximately,,
meinen,mean,,to
verheiraten,marry,,to
haben,have,,to
das Jahr,year,,
alt,old,,
der Ingenieur,engineer,m,
die Ingenieurin,engineer,f,
der Beruf,job,,
von,from,,
aber,but,,
zurzeit,currently,,
noch,still,,
klein,small,,
das Lesen,reading,,
lesen,read,,to
die Hausfrau,housewife,f,
der Landwirt,farmer,m,
zusammen,together,,
das Junge,boy,,
das Mädchen,girl,,
lernen,study,,
der Bankkaufmann,banker,m,
die Bankkauffrau,banker,f,
der Schüler,pupil,m,
die Schülerin,pupil,f,
möchten,would like,to,
später,later,,
werden,will,,
nicht,not,,
ledig,single,,
berufstätig,working,adj,
erziehen,educate,,
der Arzt,doctor,m,
die Ärztin,doctor,f,
licht,light,,
spielen,play,,
das Klavier,piano,,
dort,there,,
das Auto,car,,
dir Firma,company,,
verwitwet,widowed,,
oft,often,,
die Österreich,Austria,,
die Schweiz,Switzerland,,
kaufen,buy,,
verkaufen,sell,,
das Reisen,travel,noun,
reisen,travel,verb,
die Eltern,parents,,
die Mutter,mother,,
der Vater,father,,
der Bruder,brother,,
die Schwester,sister,,
die Tochter,daughter,,
der Sohn,son,,
die Großeltern,grandparents,,
die Oma,grandmother,,
der Opa,grandfather,,
die Geschwister,siblings,,
das Einzelkind,single child,,
nein,no,,
essen,eat,,
trinken,drink,,
die Kartoffel,potato,,
die Kartoffeln,potatoes,,
das Obst,fruit,,
der Salat,lettuce,,
der Käse,cheese,,
die Wurst,sausage,,
der Reis,rice,,
die Milch,milk,,
die Gemüse,vegetables,,
das Gemüse,vegetable,,
das Wasser,water,,
die Butter,butter,,
das Fleisch,meat,,
das Glas,glass,a,
die Gabel,fork,,
der Löffel,spoon,,
der Teller,plate,,
das Messer,knife,,
das Ei,egg,,
der Kuchen,cake,,
das Stück,piece,a,
die Scheibe,slice,a,
das Frühstück,breakfast,,
die Kanne,pot,,
der Tee,tea,,
die Zitrone,lemon,,
der Wein,wine,,
der Rotwein,red wine,,
der Weißwein,white wine,,
die Supper,soup,,
das Hähnchen,chicken,,
das Eis,icecream,,
Was isst du Morgens,What do you eat in the morning,,
Was isst du Nachmittags,What do you eat in the afternoon,,
der Nachmittag,afternoon,,
das Mittagessen,lunch,,
das Abendessen,dinner,,
zuhause,at home,,
glauben,believe,,to
laufen,run,,to
manchmal,sometimes,,
die Karte,card,,
die Speisekarte,menu,,
das Gericht,dish,(meal),
kalte Gerichte,starters,,
das Schwarzbrot,black bread,,
die Gurke,cucumber,,
das Rindfleisch,beef,,
die Zwiebel,onion,,
das Hauptgericht,main course,,
das Schwein,pig,,
das Schweinefleisch,pork,,
die Bohne,bean,,
die Bohnen,beans,,
der Bratfisch,baked fish,,
der Nachtisch,dessert,,
die Sahne,cream,,
nehmen,take,,to
das Getränk,drink,noun,
bestellen,order,,
mit,with,,
ohne,without,,
bezahlen,pay,,to
zusammen,together,,
getrennt,separate,,
Herr Ober!,Waiter!,,
der Ober,waiter,,
bekommen,get,,to
Wo finde ich Milch,Where can I find milk,,
auf dem Regal,on the shelf,,
das Regal,shelf,,
brauchen,need,,
der Zettel,slip of paper,,
die Einkaufsliste,shopping list,,
der Saft,juice,,
der Orangensaft,orange juice,,
einladen,invite,,
der Kühlschrank,fridge,,
die Halbe,half,,
das Viertel,quarter,,
zum Beispiel,for example,,
das Beispiel,example,,
das gekochtes Ei,boiled egg,,
kochen,boil,,
gebraten,fried,,
das Spiegelei,fried egg,,
die Lebensmittel,groceries,,
das Lebensmittel,food,,
der Sekt,champagne,,
das Vollkornbrot,wholemeal bread,,
die Eier,eggs,,
die Erdbeere,strawberry,,
die Kirschen,cherries,,
die Kirsche,cherry,,
die Salatgurke,salad cucumber,,
die Gewürze,spices,,
die Kräuter,herbs,,
